text,intent
"Dash, what are the synonyms for 'happy'?",1
"RainbowDash, give me the definition of 'ephemeral'",1
"Bot, can you check my spelling?",1
"hey dash, what's the opposite of 'brave'?",1
"bot, put this into a sentence: 'ubiquitous'",1
"what's the etymology of 'algorithm', rainbowdash?",1
"bot, what's a palindrome?",1
"dash, can you give me a word of the day?",1
"bot, is 'affect' or 'effect' correct here?",1
"that bot has a funny name",0
"i'm not a bot",0
"are you a bot?",0
"i think everyone here is a bot except me",0
"this is getting too meta for a bot",0
"i saw a youtube video about making a discord bot",0
"the bot is the real admin of this server",0
"i'm suspicious of that user, they might be a bot",0
"the verification system thinks i'm a bot",0
"we need more bots in here",0
"bot, play 'never gonna give you up'",1
"Dash, what song is this?",1
"RainbowDash, skip this track",1
"Bot, what's the current volume?",1
"Hey Dash, can you add this playlist to the queue?",1
"bot, show me the lyrics for this song",1
"rainbowdash, what's the music queue?",1
"bot, pause the music",1
"dash, resume playback",1
"bot, stop the music and clear the queue",1
"i love the music the bot plays",0
"the bot's music quality is amazing",0
"i wish the bot could play from spotify",0
"the music bot is the best bot",0
"the bot is having trouble connecting to the voice channel",0
"who keeps skipping the songs on the bot?",0
"the bot's queue is full",0
"i'm listening to music with the bot",0
"the bot's DJ features are cool",0
"this bot has better music taste than me",0
"bot, tell me a programmer joke",1
"hey dash, what's the difference between java and javascript?",1
"rainbowdash, can you write 'hello world' in python?",1
"bot, explain recursion to me",1
"what's a pointer, dash?",1
"bot, can you format this JSON for me?",1
"rainbowdash, what is an API?",1
"bot, should i learn vim?",1
"hey dash, what's your favorite programming language?",1
"bot, what is object-oriented programming?",1
"my code has a bug, not the bot's fault",0
"i'm using the bot's api for my project",0
"this bot's code must be so complex",0
"i was looking at the bot's source on github",0
"the bot helped me debug my code",0
"i'm trying to code a bot just like this one",0
"the bot's architecture is probably microservices",0
"i bet the bot is written in a functional language",0
"the bot uses a database to store user data",0
"i found a security vulnerability in the bot (just kidding)",0
"hey bot, what are the server's custom emojis?",1
"Dash, can you give me the invite link for this server?",1
"RainbowDash, who has the highest role here?",1
"Bot, how many channels are in this server?",1
"Hey Dash, what's the server's creation date?",1
"bot, list all the roles",1
"rainbowdash, who is currently boosting the server?",1
"bot, show me my permissions",1
"dash, how long have i been a member of this server?",1
"bot, what's the server's verification level?",1
"the bot helps the admins manage the server",0
"i was promoted by the bot automatically",0
"the bot gave me a warning for spamming",0
"the welcome message from the bot is nice",0
"the bot's moderation tools are very powerful",0
"i got muted by the bot",0
"the server logs from the bot are very detailed",0
"the bot's auto-role feature is useful",0
"i think the bot's moderation is too strict",0
"this server would be chaos without the bot",0
"bot, what do you think of this image?",1
"hey dash, can you make a meme out of this?",1
"rainbowdash, can you identify this plant for me?",1
"bot, what is this a picture of?",1
"dash, can you read the text in this image?",1
"bot, enhance this image",1
"rainbowdash, can you describe this picture to me?",1
"bot, is this image photoshopped?",1
"hey dash, what's the dominant color in this image?",1
"bot, find similar images to this one",1
"the bot sent a funny gif",0
"i love the memes this bot posts",0
"the image recognition of this bot is insane",0
"the bot's generative art is beautiful",0
"i'm sending this picture to the bot to see what it says",0
"the bot can create images from text prompts",0
"i saw the bot post a picture of a cat",0
"the bot's image manipulation tools are fun",0
"i wonder what image model the bot uses",0
"the bot's ocr is very accurate",0
"bot, let's play a game",1
"hey dash, wanna play chess?",1
"rainbowdash, start a game of tic-tac-toe",1
"bot, i choose rock",1
"dash, let's play hangman",1
"bot, can we play an adventure game?",1
"rainbowdash, quiz me on capital cities",1
"bot, let's play 'guess the number'",1
"hey dash, start a trivia game about science",1
"bot, who's winning the game?",1
"the bot is a tough opponent in chess",0
"i always lose to the bot in connect four",0
"the games on this bot are so much fun",0
"i was playing a game with the bot all night",0
"the bot's trivia questions are really hard",0
"i found a bug in the bot's hangman game",0
"this server has the best game bots",0
"i'm waiting for the bot to make its move",0
"the bot's games are a great way to pass the time",0
"i challenged the bot to a duel and won",0
"bot, what is your favorite movie?",1
"hey dash, can you recommend a tv show?",1
"rainbowdash, who is your favorite actor?",1
"bot, what are your thoughts on the new star wars movie?",1
"dash, should i watch 'the office'?",1
"bot, give me a random movie quote",1
"rainbowdash, what's the highest-rated movie on imdb?",1
"bot, who directed 'pulp fiction'?",1
"hey dash, what's a good anime to start with?",1
"bot, what's your favorite genre of film?",1
"i was just discussing a movie with the bot",0
"the bot has excellent taste in films",0
"i wonder if the bot watches movies",0
"the bot recommended a great series to me",0
"i'm adding the bot's movie suggestions to my watchlist",0
"the bot knows a lot about cinema history",0
"i disagree with the bot's review of that movie",0
"the bot is like a personal movie critic",0
"i'm surprised the bot has seen that obscure film",0
"the bot's movie trivia is unbeatable",0
"bot, thank you",0
"thanks bot",0
"ty dash",0
"good job rainbowdash",0
"bot, you're the best",0
"i appreciate your help, bot",0
"you're a very helpful bot",0
"nice one bot",0
"well done, dash",0
"the bot is a good little helper",0
"bot pls",1
"dash come on",1
"rainbow dash really?",1
"bot, are you serious?",1
"work pls bot",1
"bot can you just do the thing",1
"dash i'm waiting",1
"bot hello?",1
"is this bot working?",1
"rainbowdash respond!",1
"the bot is not working",0
"i broke the bot",0
"is the bot frozen?",0
"i think i confused the bot",0
"the bot's response was null",0
"did the bot just have a stroke?",0
"we need to restart the bot",0
"the bot is giving me an error message",0
"i'm getting no response from the bot",0
"the bot's api might be down",0
"bot, tell me about yourself",1
"what's your story, dash?",1
"rainbowdash, who are you?",1
"bot, introduce yourself",1
"what is your function, bot?",1
"hey bot, what do you do?",1
"dash, explain your purpose",1
"what are you, rainbowdash?",1
"bot, tell me more",1
"what's your deal, bot?",1
"i am not a bot, i am a human",0
"stop talking to the bot and talk to me",0
"this channel is not for chit-chat with the bot",0
"i think the bot is more popular than most users here",0
"the bot has more roles than i do",0
"i'm having a conversation with a bot, what is my life",0
"this bot is my only friend",0
"i'm going to report this bot for being too cool",0
"the bot has a cult following",0
"i'm in a parasocial relationship with this bot",0
"hey @RainbowBot, can you help?",1
"message for <@905275907625852938>, what is the time?",1
"can <@905275907625852938> help me with something?",1
"hey there <@905275907625852938>, how are you?",1
"yo <@905275907625852938> what's up?",1
"i have a question for <@905275907625852938>",1
"<@905275907625852938> please respond",1
"ping <@905275907625852938>",1
"hey bot <@905275907625852938>",1
"hi <@905275907625852938>!",1
"hey @user1 check out what the bot can do",0
"i was talking to @jane about the bot's features",0
"what do you think of the bot, @peter?",0
"the bot is offline, @moderator",0
"the bot's name is rainbow dash, isn't that right @susan?",0
"i think the bot is better than @anotherbot",0
"hey @everyone the bot has a new update!",0
"this bot is amazing, right @team?",0
"the bot is so helpful, thanks @devs",0
"i love this bot, @all",0
"bot, how to cook rice?",1
"dash, what is the best way to learn guitar?",1
"rainbowdash, how do i fix a leaky faucet?",1
"bot, what are the symptoms of the flu?",1
"hey dash, how can i be more productive?",1
"bot, what's a good workout routine?",1
"rainbowdash, how do i tie a tie?",1
"bot, what's the best way to invest money?",1
"dash, how do i write a resume?",1
"bot, what are some tips for public speaking?",1
"i learned how to do that from a youtube video, not a bot",0
"my dad taught me how to do that, the bot's advice is wrong",0
"i'm not sure i trust a bot to give me life advice",0
"the bot is not a licensed professional",0
"i'm going to ask a real person for help, not a bot",0
"the bot's instructions are confusing",0
"i found a better guide on google",0
"this is too complicated for a bot to explain",0
"i think the bot is just guessing",0
"the bot's advice is very generic",0
"bot, what's a good book to read?",1
"dash, can you recommend a podcast?",1
"rainbowdash, what's a good documentary to watch?",1
"bot, what are some good youtube channels to follow?",1
"hey dash, what's a good blog to read?",1
"bot, can you suggest a new hobby for me?",1
"rainbowdash, what's a good recipe for beginners?",1
"bot, what are some good online courses to take?",1
"dash, what's a good place to visit for vacation?",1
"bot, what are some good mobile games to play?",1
"i have my own recommendations, the bot's are bad",0
"the bot's suggestions are all sponsored",0
"i've already seen/read/played all of the bot's recommendations",0
"the bot doesn't know my tastes",0
"i'm going to ask my friends for recommendations instead of a bot",0
"the bot's recommendations are so mainstream",0
"i'm looking for something more niche than what the bot suggests",0
"the bot's links are all broken",0
"i don't like the things the bot recommends",0
"the bot is just pulling from a list, it's not actually thinking",0
"bot, i'm sad",1
"dash, i'm feeling down today",1
"rainbowdash, can you cheer me up?",1
"bot, i'm feeling lonely",1
"hey dash, can you give me some words of encouragement?",1
"bot, i'm stressed out",1
"rainbowdash, can you help me relax?",1
"bot, i'm having a bad day",1
"dash, can you make me laugh?",1
"bot, i need a virtual hug",1
"i'm talking about my feelings to a friend, not a bot",0
"a bot can't understand human emotions",0
"i'm not comfortable sharing my feelings with a bot",0
"the bot's attempts to cheer me up are making it worse",0
"i need to talk to a therapist, not a discord bot",0
"the bot's advice is not helpful for my mental health",0
"i'm just venting, i don't need a response from the bot",0
"the bot's emotional support is very robotic",0
"i'm blocking this bot, its positivity is toxic",0
"i find the bot's empathy to be very artificial",0
"bot, can you help me with my homework?",1
"dash, what is the powerhouse of the cell?",1
"rainbowdash, can you help me with this algebra problem?",1
"bot, what was the cause of the american civil war?",1
"hey dash, can you explain the water cycle to me?",1
"bot, what are newton's laws of motion?",1
"rainbowdash, can you help me write this essay?",1
"bot, what's the periodic table?",1
"dash, can you help me study for my history test?",1
"bot, what is photosynthesis?",1
"the bot is not a substitute for a teacher",0
"i'm not sure the bot's answer is correct, i'm checking wikipedia",0
"the bot can't do my homework for me",0
"i'm using the bot to cheat on my test",0
"my teacher would know if i used a bot to write my essay",0
"the bot's explanation is too simple, i need more detail",0
"i'm working on a group project, the bot is not in my group",0
"the bot's knowledge is limited to its training data",0
"i found a better explanation in my textbook",0
"the bot can't understand the context of my question",0
"bot, let's have a debate",1
"dash, what are your thoughts on pineapple on pizza?",1
"rainbowdash, argue with me about politics",1
"bot, what is your opinion on artificial intelligence?",1
"hey dash, let's discuss philosophy",1
"bot, what are the pros and cons of social media?",1
"rainbowdash, let's talk about the meaning of art",1
"bot, do you think video games are a sport?",1
"dash, what's your take on climate change?",1
"bot, let's have a friendly argument",1
"i'm debating with @user, not with the bot",0
"the bot's opinions are not its own, they're programmed",0
"i'm not interested in the bot's perspective",0
"the bot is too neutral, it won't take a side",0
"i don't want to get into an argument with a bot",0
"the bot is not capable of having a nuanced discussion",0
"i'm having a heated debate with my friends, the bot should stay out of it",0
"the bot's arguments are all based on fallacies",0
"i find the bot's political views to be problematic",0
"the bot is just repeating what it's read online",0
"bot, tell me about space",1
"dash, what is a black hole?",1
"rainbowdash, how big is the universe?",1
"bot, what are constellations?",1
"hey dash, tell me about mars",1
"bot, what is the speed of light?",1
"rainbowdash, how do stars form?",1
"bot, what is dark matter?",1
"dash, tell me about the international space station",1
"bot, are there aliens?",1
"i'm watching a documentary about space, the bot can't top this",0
"my astronomy professor knows more than the bot",0
"the bot's information about space is outdated",0
"i'm looking at pictures from the james webb telescope, the bot can't show me that",0
"the bot's explanation of astrophysics is oversimplified",0
"i'm having a discussion about space with my friends",0
"the bot doesn't understand the complexities of quantum mechanics",0
"i'm building a model rocket, the bot can't help with that",0
"i prefer to learn about space from books, not from a bot",0
"the bot's knowledge of space is very superficial",0
"bot, can you write a poem?",1
"dash, write a short story about a dragon",1
"rainbowdash, can you write a song for me?",1
"bot, create a character for a fantasy novel",1
"hey dash, can you write a script for a movie?",1
"bot, generate a plot for a mystery story",1
"rainbowdash, can you write a limerick?",1
"bot, write a sonnet about love",1
"dash, can you write a piece of flash fiction?",1
"bot, give me a writing prompt",1
"i'm a writer, i don't need a bot to write for me",0
"the bot's writing is very generic and soulless",0
"i don't like the story the bot wrote",0
"the bot's poem doesn't rhyme",0
"i'm co-writing a story with a friend, not with a bot",0
"the bot's creative writing skills are very limited",0
"i prefer human-written stories to bot-written ones",0
"the bot's characters are all one-dimensional",0
"i'm using the bot for ideas, but i'm doing the actual writing",0
"the bot's plot twist was very predictable",0
"bot what's the time in pst",1
"dash can you convert 100 usd to eur",1
"rainbowdash how many days until christmas?",1
"bot, what's the square root of 144?",1
"hey dash, can you generate a uuid?",1
"bot, what's my ip address?",1
"rainbowdash, can you shorten this url for me?",1
"bot, what is the md5 hash of 'hello'?",1
"dash, can you give me a random color hex code?",1
"bot, what's the weather like in new york city?",1
"i have a calculator on my phone, i don't need a bot for that",0
"the bot's conversion rates are not up to date",0
"i'm using a different tool for that, the bot is not reliable",0
"the bot's utility commands are very basic",0
"i found a website that does this better than the bot",0
"the bot gave me the wrong answer",0
"i'm not sure i trust the bot with this kind of information",0
"the bot's calculations are slow",0
"i prefer to do this manually than to use the bot",0
"the bot's utility features are not very useful to me",0
"hey bot can you tell me the time?",1
"RainbowDash, what's the weather like?",1
"Dash, what are the new commands?",1
"bot, help me with this",1
"hey rainbow dash give me a summary of the new update",1
"what's up bot?",1
"i have a question for the bot",1
"can someone ask the bot to queue a song?",1
"i need help from rainbowdash",1
"hey @John what do you think of the new bot?",0
"that last message from the bot was funny",0
"i think rainbow dash is offline",0
"the bot isn't responding to my commands",0
"lol that's not what i meant",0
"who here knows how to use the bot's image command?",0
"i'm talking to you, not the bot",0
"is anyone else having issues with the bot?",0
"someone should tell the bot developer to fix this",0
"hey bot",1
"bot?",1
"yo dash",1
"I think I broke the bot lol",0
"the bot is a bit slow today isn't it",0
"hey @everyone check out this new feature from the bot",0
"Rainbow Dash is my favorite bot",0
"can you tell me a joke bot?",1
"what can you do, rainbowdash?",1
"I need to talk to the bot",1
"ask the bot what it thinks about this",1
"The bot's response was weird",0
"bot what is the server status",1
"dash can u find me a recipe for pancakes",1
"rainbowdash, how do i get a new role?",1
"bot pls help",1
"hey dash, what's on your mind?",1
"Could the bot please moderate this channel?",1
"I have a query for the bot",1
"bot, define 'syzygy'",1
"tell me something interesting, bot",1
"is the bot feeling okay? its responses are weird",0
"the bot is really helpful, thanks devs!",0
"i'm not sure if i'm using this bot correctly",0
"this bot is way better than the last one",0
"lol the bot's name is rainbow dash, cute",0
"hey @jane, did you see the bot's latest announcement?",0
"my command didn't work. maybe the bot is down",0
"i'm trying to figure out how to automate a task, maybe a bot can help",0
"good bot",0
"bad bot",0
"RainbowDash, flip a coin for me",1
"bot, roll a d20 die",1
"dash, set a reminder for 5 minutes",1
"can you search wikipedia for 'black holes', bot?",1
"hey rainbowdash, translate 'hello world' to spanish",1
"bot, what is 2+2?",1
"tell me a fun fact, dash",1
"who made you, bot?",1
"bot, are you sentient?",1
"i love this bot",0
"this bot is so smart",0
"i was just telling my friend about rainbowdash",0
"the bot seems to have a lot of features",0
"i need to read the bot's documentation",0
"the bot's avatar is cool",0
"is there a support server for this bot?",0
"how often is the bot updated?",0
"sometimes the bot misunderstands me",0
"i'm gonna add this bot to my own server",0
"bot could you give me the server stats?",1
"hey dash, what are the top songs this week?",1
"rainbowdash can you create a new channel for me?",1
"bot, what's my current level?",1
"can the bot kick this user?",1
"bot, show me the server rules",1
"what is the prefix for the bot?",0
"i forgot how to use the bot",0
"i wish the bot had a feature for polls",0
"does the bot log our conversations?",0
"this channel is for bot commands only",0
"everyone, please use the bot in the correct channel",0
"i was testing the bot's features",0
"this bot has some interesting easter eggs",0
"i'm impressed by this bot's capabilities",0
"that's a cool bot",0
"Dash, what's your favorite color?",1
"Hey bot, how are you today?",1
"RainbowDash, can you play some lofi beats?",1
"Bot, can you ban @spammer123?",1
"Dash, I need some help with my code",1
"what is your purpose, bot?",1
"can you recommend a movie, rainbow dash?",1
"bot give me a random number",1
"who created you, rainbow dash?",1
"bot, what's your uptime?",1
"I think the bot is great.",0
"Did you see the latest update to the bot?",0
"I wonder what technology the bot uses.",0
"The bot can be a bit sassy sometimes.",0
"Let's not spam the bot commands.",0
"@user456, you should ask the bot for help.",0
"The bot is a useful addition to this server.",0
"I'm trying to learn all of the bot's commands.",0
"This is the best discord bot.",0
"I was talking to @alex about the bot.",0
"bot, tell me a story",1
"rainbowdash, what is the meaning of life?",1
"hey dash, what are you?",1
"what can you do for me, bot?",1
"bot, send a message to @some_user",1
"can you moderate this chat, dash?",1
"rainbowdash, give me some advice",1
"tell me a quote, bot",1
"bot, what's your favorite song?",1
"dash, do you like me?",1
"the new feature on the bot is amazing!",0
"I appreciate the work the developers put into this bot.",0
"the bot's responses are getting more human-like.",0
"how does the bot handle so many requests at once?",0
"i wonder if the bot has an api.",0
"the bot's documentation is very well-written.",0
"i think i'll donate to the bot's development.",0
"the bot is very reliable.",0
"i was just talking about the bot to my friends.",0
"this bot has made the server so much better.",0
"bot, what's the weather in London?",1
"Rainbow Dash, set a timer for 10 minutes.",1
"Dash, show me the leaderboard.",1
"Bot, tell me who is the server owner.",1
"can you search for cute cat pictures bot?",1
"hey rainbow dash, what time is it?",1
"bot, generate a random password for me",1
"dash, what's the current price of bitcoin?",1
"rainbowdash, give me a riddle",1
"what are your thoughts on AI, bot?",1
"The bot's personality is so charming.",0
"Is there a way to suggest features for the bot?",0
"I'm always discovering new things the bot can do.",0
"I'd be lost without this bot.",0
"The bot helps keep the community engaged.",0
"I was just praising the bot to my team.",0
"Does anyone know if the bot has a premium version?",0
"The bot's response time is impressive.",0
"How can I contribute to the bot's development?",0
"This is a high-quality bot.",0
"bot, who am i?",1
"dash, what's my server join date?",1
"hey rainbowdash can u mute @troll?",1
"bot, create a poll: pizza or pasta?",1
"can the bot dm me the rules?",1
"hey bot, what are your commands?",1
"rainbowdash, tell me a joke about computers",1
"what are you made of, bot?",1
"dash, analyze this sentence for sentiment",1
"bot, can you speak in pirate slang?",1
"i think the bot is down for maintenance",0
"the bot has been acting up lately",0
"i prefer the old version of the bot",0
"the bot is a crucial part of this server",0
"this bot is open source, i saw it on github",0
"shoutout to the bot for making things easier",0
"i'm making a list of my favorite bot commands",0
"the bot's help message is very detailed",0
"i was surprised the bot could do that",0
"let's thank the bot for its hard work",0
"yo dash what's cookin?",1
"bot, give me the server info",1
"rainbowdash, can you tell me who's in the voice channel?",1
"hey bot, am i a moderator?",1
"dash can you change my nickname to 'cool kid'?",1
"bot, what's the server's region?",1
"rainbowdash, how many members are online?",1
"can you tell me a secret, bot?",1
"what's your source code, dash?",1
"bot, what are you learning right now?",1
"i was just looking at the bot's profile",0
"the bot has a very clean design",0
"i think the bot needs a reboot",0
"the bot helped me with my homework",0
"this bot is a lifesaver",0
"i'm making a guide on how to use the bot",0
"the bot's updates are always exciting",0
"i reported a bug in the bot yesterday",0
"this bot has more features than i expected",0
"i'm a big fan of this bot",0
"RainbowDash, what is love?",1
"hey bot, what's the best way to learn python?",1
"dash, can you find me a tutorial on youtube?",1
"bot, who is the president of the united states?",1
"what's the capital of france, rainbowdash?",1
"bot, can you solve this math problem: 5 * (10 + 3)?",1
"dash, tell me about the big bang theory",1
"who is your favorite philosopher, bot?",1
